Date : 2025-11-22 18:16:08
Directory : f:\coding\plexichat
Total : 562 files,  178644 codes, 21215 comments, 31522 blanks, all 231381 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| src\plexichat\core\files                                                                                 |          3 |      1,106 |        157 |        237 |      1,500 |
| src\plexichat\core\messaging                                                                             |          5 |      1,193 |        289 |        305 |      1,787 |
| src\plexichat\core\middleware                                                                            |          7 |      1,883 |        305 |        415 |      2,603 |
| src\plexichat\core\middleware (Files)                                                                    |          5 |      1,276 |        235 |        354 |      1,865 |
| src\plexichat\core\middleware\rate_limiting                                                              |          2 |        607 |         70 |         61 |        738 |
| src\plexichat\core\monitoring                                                                            |          5 |      1,074 |        164 |        279 |      1,517 |
| src\plexichat\core\notifications                                                                         |          5 |      1,207 |        196 |        258 |      1,661 |
| src\plexichat\core\performance                                                                           |         14 |      5,919 |      1,142 |      1,550 |      8,611 |
| src\plexichat\core\plugins                                                                               |         15 |      8,343 |      1,163 |        870 |     10,376 |
| src\plexichat\core\plugins (Files)                                                                       |          6 |      4,876 |        909 |        575 |      6,360 |
| src\plexichat\core\plugins\installed                                                                     |          9 |      3,467 |        254 |        295 |      4,016 |
| src\plexichat\core\plugins\installed\ai_providers                                                        |          2 |        412 |         67 |        102 |        581 |
| src\plexichat\core\plugins\installed\echo_plugin                                                         |          2 |         36 |         11 |         12 |         59 |
| src\plexichat\core\plugins\installed\hello_world_plugin                                                  |          2 |         34 |         17 |         12 |         63 |
| src\plexichat\core\plugins\installed\random_quote_plugin                                                 |          1 |         31 |         17 |         13 |         61 |
| src\plexichat\core\plugins\installed\testing_plugin                                                      |          2 |      2,954 |        142 |        156 |      3,252 |
| src\plexichat\core\scheduler                                                                             |          2 |        613 |         67 |        151 |        831 |
| src\plexichat\core\security                                                                              |         19 |      6,589 |      1,380 |      1,608 |      9,577 |
| src\plexichat\core\services                                                                              |         11 |      2,160 |        478 |        601 |      3,239 |
| src\plexichat\core\testing                                                                               |          1 |        752 |        108 |        178 |      1,038 |
| src\plexichat\core\threading                                                                             |          2 |        251 |         36 |         70 |        357 |
| src\plexichat\core\updates                                                                               |          1 |          3 |          5 |          3 |         11 |
| src\plexichat\core\versioning                                                                            |          6 |      1,301 |        286 |        352 |      1,939 |
| src\plexichat\core\websocket                                                                             |          2 |        517 |         96 |        179 |        792 |
| src\plexichat\features                                                                                   |         36 |      8,068 |      1,349 |      1,592 |     11,009 |
| src\plexichat\features (Files)                                                                           |          1 |         69 |         27 |         29 |        125 |
| src\plexichat\features\ai                                                                                |         27 |      3,308 |        469 |        687 |      4,464 |
| src\plexichat\features\ai (Files)                                                                        |          2 |        251 |         60 |         48 |        359 |
| src\plexichat\features\ai\api                                                                            |          3 |        247 |         52 |         56 |        355 |
| src\plexichat\features\ai\cli                                                                            |          2 |         78 |         28 |         22 |        128 |
| src\plexichat\features\ai\core                                                                           |          2 |        250 |         53 |         52 |        355 |
| src\plexichat\features\ai\features                                                                       |          2 |        285 |         50 |         79 |        414 |
| src\plexichat\features\ai\moderation                                                                     |          6 |        590 |         82 |        145 |        817 |
| src\plexichat\features\ai\monitoring                                                                     |          1 |         38 |          4 |         12 |         54 |
| src\plexichat\features\ai\providers                                                                      |          5 |        619 |         95 |        122 |        836 |
| src\plexichat\features\ai\webui                                                                          |          4 |        950 |         45 |        151 |      1,146 |
| src\plexichat\features\ai\webui (Files)                                                                  |          2 |        295 |         45 |         82 |        422 |
| src\plexichat\features\ai\webui\templates                                                                |          2 |        655 |          0 |         69 |        724 |
| src\plexichat\features\backup                                                                            |          8 |      4,691 |        853 |        876 |      6,420 |
| src\plexichat\infrastructure                                                                             |         64 |     23,284 |      3,834 |      5,448 |     32,566 |
| src\plexichat\infrastructure (Files)                                                                     |          2 |        395 |        104 |        117 |        616 |
| src\plexichat\infrastructure\analytics                                                                   |          2 |        442 |         71 |        120 |        633 |
| src\plexichat\infrastructure\containerization                                                            |          1 |        368 |         39 |         66 |        473 |
| src\plexichat\infrastructure\debugging                                                                   |          3 |      1,190 |        145 |        322 |      1,657 |
| src\plexichat\infrastructure\deployment                                                                  |          1 |        379 |         38 |         75 |        492 |
| src\plexichat\infrastructure\events                                                                      |          1 |        284 |        110 |         89 |        483 |
| src\plexichat\infrastructure\installer                                                                   |          3 |        305 |         32 |         89 |        426 |
| src\plexichat\infrastructure\messaging                                                                   |          1 |        266 |         49 |         78 |        393 |
| src\plexichat\infrastructure\microservices                                                               |          2 |        649 |        134 |        175 |        958 |
| src\plexichat\infrastructure\modules                                                                     |          3 |        684 |        196 |        197 |      1,077 |
| src\plexichat\infrastructure\scalability                                                                 |          1 |        260 |         75 |         70 |        405 |
| src\plexichat\infrastructure\services                                                                    |         27 |     14,722 |      2,229 |      3,115 |     20,066 |
| src\plexichat\infrastructure\services (Files)                                                            |         26 |     14,360 |      2,183 |      3,029 |     19,572 |
| src\plexichat\infrastructure\services\modules                                                            |          1 |        362 |         46 |         86 |        494 |
| src\plexichat\infrastructure\utils                                                                       |         17 |      3,340 |        612 |        935 |      4,887 |
| src\plexichat\infrastructure\utils (Files)                                                               |         16 |      3,340 |        612 |        933 |      4,885 |
| src\plexichat\infrastructure\utils\monitoring                                                            |          1 |          0 |          0 |          2 |          2 |
| src\plexichat\interfaces                                                                                 |        205 |     77,192 |      5,431 |     12,090 |     94,713 |
| src\plexichat\interfaces (Files)                                                                         |          1 |         48 |          8 |         27 |         83 |
| src\plexichat\interfaces\api                                                                             |         29 |      6,878 |      1,077 |      1,657 |      9,612 |
| src\plexichat\interfaces\api (Files)                                                                     |          3 |        642 |        135 |        221 |        998 |
| src\plexichat\interfaces\api\routers                                                                     |          4 |      1,243 |        153 |        268 |      1,664 |
| src\plexichat\interfaces\api\schemas                                                                     |          1 |         47 |          4 |         20 |         71 |
| src\plexichat\interfaces\api\v1                                                                          |         21 |      4,946 |        785 |      1,148 |      6,879 |
| src\plexichat\interfaces\cli                                                                             |         22 |      5,498 |        542 |        962 |      7,002 |
| src\plexichat\interfaces\cli (Files)                                                                     |          7 |      1,393 |        140 |        223 |      1,756 |
| src\plexichat\interfaces\cli\commands                                                                    |         13 |      3,877 |        371 |        683 |      4,931 |
| src\plexichat\interfaces\cli\ultimate                                                                    |          2 |        228 |         31 |         56 |        315 |
| src\plexichat\interfaces\web                                                                             |        152 |     64,666 |      3,763 |      9,395 |     77,824 |
| src\plexichat\interfaces\web (Files)                                                                     |          2 |         89 |         22 |         30 |        141 |
| src\plexichat\interfaces\web\components                                                                  |          3 |      1,029 |         88 |        153 |      1,270 |
| src\plexichat\interfaces\web\core                                                                        |          3 |      1,199 |        209 |        267 |      1,675 |
| src\plexichat\interfaces\web\middleware                                                                  |          3 |      1,471 |        197 |        170 |      1,838 |
| src\plexichat\interfaces\web\routers                                                                     |         30 |     13,400 |      1,699 |      2,098 |     17,197 |
| src\plexichat\interfaces\web\routes                                                                      |         11 |      1,668 |        373 |        425 |      2,466 |
| src\plexichat\interfaces\web\routes (Files)                                                              |          6 |        941 |        275 |        286 |      1,502 |
| src\plexichat\interfaces\web\routes\admin                                                                |          2 |        632 |         72 |        114 |        818 |
| src\plexichat\interfaces\web\routes\collaboration                                                        |          3 |         95 |         26 |         25 |        146 |
| src\plexichat\interfaces\web\schemas                                                                     |         11 |        900 |        153 |        335 |      1,388 |
| src\plexichat\interfaces\web\static                                                                      |         24 |      8,240 |        403 |      1,304 |      9,947 |
| src\plexichat\interfaces\web\static (Files)                                                              |          1 |        183 |          0 |         13 |        196 |
| src\plexichat\interfaces\web\static\css                                                                  |          7 |      2,985 |        140 |        548 |      3,673 |
| src\plexichat\interfaces\web\static\js                                                                   |         11 |      4,210 |        244 |        599 |      5,053 |
| src\plexichat\interfaces\web\static\plugin-manager                                                       |          5 |        862 |         19 |        144 |      1,025 |
| src\plexichat\interfaces\web\templates                                                                   |         65 |     36,670 |        619 |      4,613 |     41,902 |
| src\plexichat\interfaces\web\templates (Files)                                                           |         17 |      8,947 |        195 |      1,090 |     10,232 |
| src\plexichat\interfaces\web\templates\admin                                                             |         30 |     20,621 |        334 |      2,511 |     23,466 |
| src\plexichat\interfaces\web\templates\auth                                                              |          2 |        926 |         13 |        144 |      1,083 |
| src\plexichat\interfaces\web\templates\dashboard                                                         |          1 |        311 |          9 |         17 |        337 |
